2019-11-17 11:40:00.666972, [INFO] New scenario manager or reset. Reading in all scenarios from storage!
2019-11-17 11:40:00.778688, [INFO] Registering agent factory for CONTROLLER
2019-11-17 11:40:00.782257, [INFO] Registering agent factory for CAR
2019-11-17 11:40:18.061938, [INFO] Round #164 Step #1.0, collect_data=True
2019-11-17 11:40:18.138427, [INFO] Round #165 Step #1.0, collect_data=True
2019-11-17 11:40:18.216380, [INFO] Round #166 Step #1.0, collect_data=True
2019-11-17 11:40:18.255163, [INFO] Round #167 Step #1.0, collect_data=True
2019-11-17 11:40:18.296854, [INFO] Round #168 Step #1.0, collect_data=True
2019-11-17 11:40:18.333256, [INFO] Round #169 Step #1.0, collect_data=True
2019-11-17 11:40:18.374396, [INFO] Round #170 Step #1.0, collect_data=True
2019-11-17 11:40:18.431817, [INFO] Round #171 Step #1.0, collect_data=True
2019-11-17 11:40:18.517171, [INFO] Round #172 Step #1.0, collect_data=True
2019-11-17 11:40:18.581223, [INFO] Round #173 Step #1.0, collect_data=True
2019-11-17 11:40:18.667499, [INFO] Round #174 Step #1.0, collect_data=True
2019-11-17 11:40:18.794019, [INFO] Round #175 Step #1.0, collect_data=True
2019-11-17 11:40:18.919646, [INFO] Round #176 Step #1.0, collect_data=True
2019-11-17 11:40:19.137679, [INFO] Round #177 Step #1.0, collect_data=True
2019-11-17 11:40:19.189403, [INFO] Round #178 Step #1.0, collect_data=True
2019-11-17 11:40:19.332663, [INFO] Round #179 Step #1.0, collect_data=True
2019-11-17 11:40:19.373483, [INFO] Round #180 Step #1.0, collect_data=True
2019-11-17 11:40:19.453535, [INFO] Round #181 Step #1.0, collect_data=True
2019-11-17 11:40:19.505216, [INFO] Round #182 Step #1.0, collect_data=True
2019-11-17 11:40:19.572645, [INFO] Round #183 Step #1.0, collect_data=True
2019-11-17 11:40:19.731481, [INFO] Round #184 Step #1.0, collect_data=True
2019-11-17 11:40:19.962763, [INFO] Round #185 Step #1.0, collect_data=True
2019-11-17 11:40:20.029241, [INFO] Round #186 Step #1.0, collect_data=True
2019-11-17 11:40:20.152559, [INFO] Round #187 Step #1.0, collect_data=True
2019-11-17 11:40:20.222090, [INFO] Round #188 Step #1.0, collect_data=True
2019-11-17 11:40:20.285454, [INFO] Round #189 Step #1.0, collect_data=True
2019-11-17 11:40:20.357117, [INFO] Round #190 Step #1.0, collect_data=True
2019-11-17 11:40:20.401817, [INFO] Round #191 Step #1.0, collect_data=True
2019-11-17 11:40:20.549745, [INFO] Round #192 Step #1.0, collect_data=True
2019-11-17 11:40:20.743572, [INFO] Round #193 Step #1.0, collect_data=True
2019-11-17 11:40:20.829103, [INFO] Round #194 Step #1.0, collect_data=True
2019-11-17 11:40:20.910071, [INFO] Round #195 Step #1.0, collect_data=True
2019-11-17 11:40:20.988956, [INFO] Round #196 Step #1.0, collect_data=True
2019-11-17 11:40:21.059421, [INFO] Round #197 Step #1.0, collect_data=True
2019-11-17 11:40:21.111494, [INFO] Round #198 Step #1.0, collect_data=True
2019-11-17 11:40:21.219438, [INFO] Round #199 Step #1.0, collect_data=True
2019-11-17 11:40:21.288911, [INFO] Round #200 Step #1.0, collect_data=True
2019-11-17 11:40:21.367130, [INFO] Round #201 Step #1.0, collect_data=True
2019-11-17 11:40:21.414404, [INFO] Round #202 Step #1.0, collect_data=True
2019-11-17 11:40:21.474549, [INFO] Round #203 Step #1.0, collect_data=True
2019-11-17 11:40:21.521250, [INFO] Round #204 Step #1.0, collect_data=True
2019-11-17 11:40:21.556986, [INFO] Round #205 Step #1.0, collect_data=True
2019-11-17 11:40:21.608536, [INFO] Round #206 Step #1.0, collect_data=True
2019-11-17 11:40:21.791339, [INFO] Round #207 Step #1.0, collect_data=True
2019-11-17 11:40:21.864496, [INFO] Round #208 Step #1.0, collect_data=True
2019-11-17 11:40:21.908012, [INFO] Round #209 Step #1.0, collect_data=True
2019-11-17 11:40:22.132493, [INFO] Round #210 Step #1.0, collect_data=True
2019-11-17 11:40:22.250377, [INFO] Round #211 Step #1.0, collect_data=True
2019-11-17 11:40:22.307611, [INFO] Round #212 Step #1.0, collect_data=True
2019-11-17 11:40:22.414128, [INFO] Round #213 Step #1.0, collect_data=True
2019-11-17 11:40:22.478446, [INFO] Round #214 Step #1.0, collect_data=True
2019-11-17 11:40:22.560984, [INFO] Round #215 Step #1.0, collect_data=True
2019-11-17 11:40:22.659163, [INFO] Round #216 Step #1.0, collect_data=True
2019-11-17 11:40:22.740533, [INFO] Round #217 Step #1.0, collect_data=True
2019-11-17 11:40:22.795736, [INFO] Round #218 Step #1.0, collect_data=True
2019-11-17 11:40:22.855740, [INFO] Round #219 Step #1.0, collect_data=True
2019-11-17 11:40:22.906468, [INFO] Round #220 Step #1.0, collect_data=True
2019-11-17 11:40:22.979267, [INFO] Round #221 Step #1.0, collect_data=True
2019-11-17 11:40:23.058026, [INFO] Round #222 Step #1.0, collect_data=True
2019-11-17 11:40:23.193690, [INFO] Round #223 Step #1.0, collect_data=True
2019-11-17 11:40:23.283037, [INFO] Round #224 Step #1.0, collect_data=True
2019-11-17 11:40:23.359992, [INFO] Round #225 Step #1.0, collect_data=True
2019-11-17 11:40:23.432502, [INFO] Round #226 Step #1.0, collect_data=True
2019-11-17 11:40:23.499570, [INFO] Round #227 Step #1.0, collect_data=True
2019-11-17 11:40:23.550947, [INFO] Round #228 Step #1.0, collect_data=True
2019-11-17 11:40:23.639858, [INFO] Round #229 Step #1.0, collect_data=True
2019-11-17 11:40:23.782129, [INFO] Round #230 Step #1.0, collect_data=True
2019-11-17 11:40:23.868543, [INFO] Round #231 Step #1.0, collect_data=True
2019-11-17 11:40:23.962580, [INFO] Round #232 Step #1.0, collect_data=True
2019-11-17 11:40:24.057504, [INFO] Round #233 Step #1.0, collect_data=True
2019-11-17 11:40:24.151429, [INFO] Round #234 Step #1.0, collect_data=True
2019-11-17 11:40:24.235475, [INFO] Round #235 Step #1.0, collect_data=True
2019-11-17 11:40:24.314271, [INFO] Round #236 Step #1.0, collect_data=True
2019-11-17 11:40:24.403614, [INFO] Round #237 Step #1.0, collect_data=True
2019-11-17 11:40:24.467989, [INFO] Round #238 Step #1.0, collect_data=True
2019-11-17 11:40:24.511154, [INFO] Round #239 Step #1.0, collect_data=True
2019-11-17 11:40:24.591897, [INFO] Round #240 Step #1.0, collect_data=True
2019-11-17 11:40:24.660931, [INFO] Round #241 Step #1.0, collect_data=True
2019-11-17 11:40:24.736837, [INFO] Round #242 Step #1.0, collect_data=True
2019-11-17 11:40:24.806986, [INFO] Round #243 Step #1.0, collect_data=True
2019-11-17 11:40:24.869296, [INFO] Round #244 Step #1.0, collect_data=True
2019-11-17 11:40:24.947746, [INFO] Round #245 Step #1.0, collect_data=True
2019-11-17 11:40:24.989179, [INFO] Round #246 Step #1.0, collect_data=True
2019-11-17 11:40:25.039971, [INFO] Round #247 Step #1.0, collect_data=True
2019-11-17 11:40:25.078871, [INFO] Round #248 Step #1.0, collect_data=True
2019-11-17 11:40:25.118158, [INFO] Round #249 Step #1.0, collect_data=True
2019-11-17 11:40:25.154278, [INFO] Round #250 Step #1.0, collect_data=True
2019-11-17 11:40:25.194478, [INFO] Round #251 Step #1.0, collect_data=True
2019-11-17 11:40:25.226447, [INFO] Round #252 Step #1.0, collect_data=True
